group_id,title,description,control_id,control_title,control_description,reason,resource,status,severity,account_id,region,audit_manager_control_tower,aws_foundational_security,category,choice_id,cis,cis_controls_v8_ig1,cis_item_id,cis_level,cis_section_id,cis_type,cis_version,cisa_cyber_essentials,fedramp_low_rev_4,fedramp_moderate_rev_4,ffiec,gdpr,gxp_21_cfr_part_11,gxp_eu_annex_11,hipaa_final_omnibus_security_rule_2013,hipaa_security_rule_2003,nist_800_171_rev_2,nist_800_53_rev_4,nist_800_53_rev_5,nist_csf,pci_dss_v321,pillar_id,plugin,question_id,rbi_cyber_security,service,severity,soc_2,type,war_severity
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Fathom-mct-db-staging.mct.loc-CPU-Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Fathom-mct-db-staging.mct.loc-CPU-Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Fathom-Gitlab-CPU-Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Fathom-Gitlab-CPU-Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Fathom-Gitlab-Memory-Used alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Fathom-Gitlab-Memory-Used,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Fathom-docker-order-tracking-service-Memory-Used alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Fathom-docker-order-tracking-service-Memory-Used,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",accesstoinfor.mct.loc_sda2_DiskSpace_Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:accesstoinfor.mct.loc_sda2_DiskSpace_Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Fathom-accesstoinfor.mct.loc-CPU-Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Fathom-accesstoinfor.mct.loc-CPU-Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Synthetics-Alarm-jz-canary-3 alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Synthetics-Alarm-jz-canary-3,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",docker-order-tracking-service-//10.1.10.10/SLS-DiskSpace-Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:docker-order-tracking-service-//10.1.10.10/SLS-DiskSpace-Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",mct-devel-server.mct.loc-//10.1.10.10/accounting-DiskSpace-Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:mct-devel-server.mct.loc-//10.1.10.10/accounting-DiskSpace-Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Fathom-docker-order-tracking-service-CPU-Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Fathom-docker-order-tracking-service-CPU-Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Cody-EC2-Test alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Cody-EC2-Test,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Test-CPUUtilization alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Test-CPUUtilization,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Synthetics-Alarm-jz-canary-1 alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Synthetics-Alarm-jz-canary-1,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Gitlab_mapper/ubuntu--vg-ubuntu--lv_DiskSpace_Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Gitlab_mapper/ubuntu--vg-ubuntu--lv_DiskSpace_Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",mct-devel-server.mct.loc-CPU-Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:mct-devel-server.mct.loc-CPU-Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Synthetics-Alarm-jz-canary-2 alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Synthetics-Alarm-jz-canary-2,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Fathom-accesstoinfor.mct.loc-Memory-Used alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Fathom-accesstoinfor.mct.loc-Memory-Used,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",docker-order-tracking-service_mapper/ubuntu--vg-ubuntu--lv--0_DiskSpace_Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:docker-order-tracking-service_mapper/ubuntu--vg-ubuntu--lv--0_DiskSpace_Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",mct-devel-server.mct.loc-mapper/centos_mct--db--staging-root-DiskSpace-Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:mct-devel-server.mct.loc-mapper/centos_mct--db--staging-root-DiskSpace-Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",mct-db-dev.mct.loc-mapper/centos_mct--db--dev-lv_root-DiskSpace-Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:mct-db-dev.mct.loc-mapper/centos_mct--db--dev-lv_root-DiskSpace-Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",mapper/centos_mct--devel--server-root-mct-devel-server.mct.loc-DiskSpace-Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:mapper/centos_mct--devel--server-root-mct-devel-server.mct.loc-DiskSpace-Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",accesstoinfor.mct.loc_mapper/ubuntu--vg-ubuntu--lv_DiskSpace_Alarm alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:accesstoinfor.mct.loc_mapper/ubuntu--vg-ubuntu--lv_DiskSpace_Alarm,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudwatch_alarm_action_enabled,CloudWatch alarm should have an action configured,"Checks if CloudWatch alarms have an action configured for the ALARM, INSUFFICIENT_DATA, or OK state. Optionally checks if any actions match a named ARN. The rule is non-compliant if there is no action specified for the alarm or optional parameter.",Fathom-mct-db-dev.mct.loc-Memory-Used alarm action enabled.,arn:aws:cloudwatch:us-east-1:904513543354:alarm:Fathom-mct-db-dev.mct.loc-Memory-Used,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,true,true,true,,,true,true,true,true,true,true,true,,,aws,,,AWS/CloudWatch,,true,,
